Name,Party,Status,Votes
S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,won,563216
L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,lost,256657
K BALU,Pattali Makkal Katchi,lost,202325
S AFSHIA NASRIN,Naam Tamilar Katchi,lost,98944
D PANDIYAN,Bahujan Samaj Party,lost,6212
A PALANI,Independent,lost,3866
K MANIGANDAN,Independent,lost,2049
INDU W,Tamil Manila Murpokku Dravida Kazhagam,lost,1938
DR A V NARENDRAN,Independent,lost,1722
M VIJAYAN,Independent,lost,1678
M BALU,Independent,lost,1561
SHETTU S,Independent,lost,1561
V BABU,United Republican Party of India,lost,1366
M THULASIRAMAN,Independent,lost,1053
D JANAKIRAMAN,Independent,lost,837
S SURESH KUMAR,Independent,lost,835
R VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,lost,821
V VINAYAGAM,Independent,lost,729
VIJAYAN K,All India Jananayaka Makkal Kazhagam,lost,633
SHANAVAS J,Independent,lost,583
V KRISHNANANDAN,Anna MGR Dravida Makkal Kalgam,lost,582
A JAYACHANDRAN,Independent,lost,538
N SUGUMAR,Independent,lost,432
M VIJAY,Independent,lost,427
G SUDHAKAR,Independent,lost,380
K VENKATESAN,Independent,lost,264
NOTA,None of the Above,,12613
